,Q147.OtherInfoAreas,Q147.OtherInfoAreas.Reponse1.Level1,Q147.OtherInfoAreas.Reponse1.Level2,Q147.OtherInfoAreas.Reponse1.Level3,Q147.OtherInfoAreas.Reponse2.Level1,Q147.OtherInfoAreas.Reponse2.Level2,,Q147.OtherInfoAreas.Reponse3.Level1,Q148.IdeasOfChanges,Q150.HelpToImplementChanges,Q150.HelpToImplementChanges.Reponse1.Level1,Q150.HelpToImplementChanges.Reponse1.Level2,Q150.HelpToImplementChanges.Reponse1.Level3,Q150.HelpToImplementChanges.Reponse2.Level1,Q150.HelpToImplementChanges.Reponse2.Level2,Q150.HelpToImplementChanges.Reponse3.Level1,Q150.HelpToImplementChanges.Reponse3.Level2,Q162.MainChallengesOnFarm,Q162.MainChallengesOnFarm.Reponse1.Level1,Q162.MainChallengesOnFarm.Reponse1.Level2,Q162.MainChallengesOnFarm.Reponse2.Level1,Q162.MainChallengesOnFarm.Reponse2.Level2,Q162.MainChallengesOnFarm.Reponse2.Level3,Q162.MainChallengesOnFarm.Reponse3.Level1,Q162.MainChallengesOnFarm.Reponse3.Level2,Q162.MainChallengesOnFarm.Reponse4.Level1,Q163.SolutionsToAddressProblems,Q163.SolutionsToAddressProblems.Reponse1.Level1,Q163.SolutionsToAddressProblems.Reponse1.Level2,Q163.SolutionsToAddressProblems.Reponse1.Level3,Q163.SolutionsToAddressProblems.Reponse2.Level1,Q163.SolutionsToAddressProblems.Reponse2.Level2,Q166.ShareNewFarmingPractice.Example,Q170.ChallengesOfSharingInfo,Q170.ChallengesOfSharingInfo.Reponse1.Level1,Q170.ChallengesOfSharingInfo.Reponse1.Level2,Q170.ChallengesOfSharingInfo.Reponse2.Level1,Q171.MakeSharingEasier,Q171.MakeSharingEasier.Response1.Level1,Q171.MakeSharingEasier.Response1.Level2,Q171.MakeSharingEasier.Response2.Level1,Q21.Income.Other,Q21.Income.Other.Reponse1.Level1,Q21.Income.Other.Reponse1.Level2,Q21.Income.Other.Reponse2.Level1,Q21.Income.Other.Reponse2.Level2,Q28.FarmHealth.Text,Q93.BankAccountChallenges,Q93.BankAccountChallenges.Reponse1.Level1,Q93.BankAccountChallenges.Reponse2.Level1,Q95.BankLoanFacilityChallenges,Q95.BankLoanFacilityChallenges.Reponse1.Level1,Q95.BankLoanFacilityChallenges.Reponse1.Level2,Q95.BankLoanFacilityChallenges.Reponse2.Level1,Q97.BankCreditChallenges.Reponse1.Level1,Q99.SACCOChallenges,Q99.SACCOChallenges.Reponse1.Level1,Q99.SACCOChallenges.Reponse1.Level2,Q99.SACCOChallenges.Reponse2.Level1
150,Especially in disease control,Training,Pest management,,,,,,,if i get money and buy more land,Finance,Land,,,,,,pests and capital,Pests,,,,,,,,PRUNNING OFF AFFECTED PLANTS,Pruning ,,,,,gender and coffee,farmer is always busy working,Time,,,through radios like KRC radio,Radio,,,,,,,,PLANTED MORE CROPS,,,,,,,,,,,,
151,in tea producation and marketing,Training,Good agricultural practices,,Training,Marketing,,,,have materials to carry out that idea,Finance,New ideas,,,,,,"low capital to buy fertlizers, and price fluctuations of tea",Finance,Capital,Inputs,Fertilizer,Limited,Prices,Price fluctuation,,USING MULCHES AND PRUNNING TO IMPROVE UPON HARVESTS,Soil mangement,Fertilizer,Mulching,Pruning ,,training them on how to house chicken to avoid theives,others give out poor informations,Wrong Information,,,Have more extension farmers and also through radios,Radio,,Increased support from cooperative,,,,,,MY HARVESTS INCREASED,,,,,,,,,,,,
152,In live stock managment and growing fruits,Training,Livestock,,Training,Fruits,,,,,,,,,,,,lack of capital and labour,Labour ,Shortage,Finance,Capital,,,,,I ADD MULCHES IN THE GARDEN,Soil mangement,Fertilizer,Mulching,,,planting quality seedlings,farmers dony care,Poor Committment,,,through chutches and radios,Radio,,,,,,,,INCREASED HARVEST IN COFFEE,,,,,,,,,,,,
153,How can i  increase on my farm productivity.,Training,Yield improvement,,,,,,,,,,,,,,,lack of income and pests and lack of care,Income,Low,Pests,,,Lack of care,,,"PRUNNING OFF SICK BRANCHES
BURNING SICK PLANTS",Cut & Burn Affected Area,,,,,teaching them how to grow mashrooms,people have different minds to understand,Poor Understanding,,,through churches mainly,Church,,,,,,,,I CARRY OUT EARLY PLANTING,,,,,,,,,,,,
154,How to control pest and disease in coffee plantation,Training,Pest management,,,,,,,,,,,,,,,no big challenge,None,,,,,,,,PRUNNING OFF AFFECTED PLANT,Pruning ,,,,,share with them better farming methods,they donot take part,Poor Committment,,,to put in pratice and others copy,Visit Fellow Farmers Farms,,,,,,,,DROUGHT,,,,,,,,,,,,
155,How to control weeds in coffee plantation.,Training,Pest management,,,,,,,,,,,,,,,transport and poor road network,Transport,Poor roads,,,,,,,ATTENDED TRAINING WITH CAFE DIRECT AT THE UNION AND LEARNT ABOUT AMONG OTHER SOLUTIONS TO PRUNE OFF AFFECTED BRANCHES,Training ,CPF,,,,how to keep bees,people dont mind,No Challenges,,,through training,Training,,,,,,,,added more manure,,,,,,,,,,,,
156,HOw to make local nanures,Information,Compost,Manure,,,,,,,,,,,,,,lack of labour majorly,Labour ,Shortage,,,,,,,UPROOTING AFFECTED PLANTS,Cut & Burn Affected Area,,,,,more training on good agricultural practices,otheirs give wrong informations,Wrong Information,,,to pass through radios and churches,Radio,,Church,,,,,,too much drought,,,,,,,,,,,,
157,How to prevent the spread of pest and diseases in coffee,Training,Pest management,,,,,,,,,,,,,,,farmer lacks labour to work on the farm,Labour ,Shortage,,,,,,,"PRUNNING, UPROOTING AND BURNING AFFECTED PLANTS",Cut & Burn Affected Area,,,,,what i have been trained on,other farmers have no solutions to the problems,Lack of information/resources/demonstrations,,,i should be trained,Training,,,,,,,,more harvest after adding manure,,,,,,,,,,,,
158,How to prevent pest and diseases in my plantations.,Training,Pest management,,,,,,,,,,,,,,,"pest and diseased and price fractuation, drought.",Pests,,Prices,Price fluctuation,,,,,NOT YET,None,,,,,fruit growning,others they ignore my ideas,Fellow farmers do not accept training,,,through training majorly,Training,,,,,,,,"aplied manure,bought another plot",,,,,,,,,,,,
159,How to control coffee diseases.,Training,Pest management,,,,,,,,,,,,,,,"Lack of capital to improve my farm, drought",Finance,Capital,Weather,Drought,,,,,PRUNNING AFFECTED BRANCHES,Pruning ,,,,,how to use dry grasses during mulching this can reduce sunligt to hit the roots and stems hence increasing coffee productuon,others dont take my advice,Fellow farmers do not accept training,,,through trainig,Training,,,,,,,,he replanted,,,,,,,,,,,,
160,On modern farming,Training,Good agricultural practices,,,,,,,,,,,,,,,"pest and dideases, price fractuation,",Pests,,Prices,Price fluctuation,,,,,DRYING COFFEE BEANS ON ORDINARY CLOTHS UNDER THE SUN,Sun Drying,,,,,i adviced them to cut and burn all the infected coffee trees.,i dont get solutions to the problems.,Lack of information/resources/demonstrations,,,througj radios,Radio,,,,,,,,affected by hailstorm,,,,,,,,,,,,
161,in areas of growing tea,Training,Good agricultural practices,,,,,,,,,,,,,,,"Pests and diseases, price fractuation",Pests,,Prices,Price fluctuation,,,,,MULCHING AND PRUNNING,Soil mangement,Fertilizer,Mulching,Pruning ,,you should space coffee while planting and mulching.,lack of money to hold farmers meetings.,Costs,,,i should be trained in all sectors,Training,,,,,,,,gap filling wilt affected trees,,,,,,,,,,,,
162,How to look after or to increase coffee and banana production.,Training,Yield improvement,Coffee,Training,Yield improvement,Banana,,,,,,,,,,,"Limited land, pest and diseases, price fractuation",Pests,,Prices,Price fluctuation,,Farm area,,,I FARM WITH IN MY MEANS,Low cost farming,,,,,neighbours,i lack clear knowledge,Lack of information/resources/demonstrations,,,training,Training,,,,,,,,mulched and applied manure,,,,,,,,,,,,
163,"know more about his acreage,  how to improve on his quality",Training,Yield improvement,,Training,Quality,,,,,,,,,,,,pest and diseases,Pests,,,,,,,,"PRUNNING , UPROOTING AND BURNING AFFECTED PLANTS",Cut & Burn Affected Area,,,,,neighbouring farmers,some farmers are not fast at grapping,Poor Understanding,,,i can take them to my farm and  demonstrate to them.,Demonstration farm,,Visit Fellow Farmers Farms,,,,,,i malched my land,,,,,,,,,,,,
164,tour outside uganda to see how they practice their farming,Information,Farm demonstrations,,,,,,,,,,,,,,,"pest and diseases , price ftactuation, lack of manures.",Pests,,Inputs,Fertilizer,Manure,Prices,Price fluctuation,,"more manure,watering ,prunning",Soil mangement,Fertilizer,Manure,Pruning ,,fellow farmers in the community,they dont undestand fast,Poor Understanding,,,Extension workers should intervien in farmers problems.,Increased support from cooperative,,,,,,,,more attension even in drought,,,,,,,,,,,,
165,tea agronomic ptactices,Training,Good agricultural practices,,,,,,,,,,,,,,,"pest and diseases ,lack of funds, weather changes",Pests,,Finance,,,Weather,Changing,,uprooting the affected bananas,Cut & Burn Affected Area,,,,,share the knowlege recieved during training,farmer hasnt got any problem,No Challenges,,,the society should contribute money for the farmers meetings.,Increased support from cooperative,,Funding,,,,,,drought last year,,,,,,,,,,,,
166,information about more market,Information,Market,,,,,,,,,,,,,,,"pest and diseases,",Pests,,,,,,,,uproot the affected plants,Cut & Burn Affected Area,,,,,how to plant and harvest in time,ignorance,Lack of information/resources/demonstrations,,,i should be trained.,Training,,,,,,,,more efforts in developing the farm,,,,,,,,,,,,
167,teaching new methods of farming like mulching,Information,Compost,Mulching,,,,,,,,,,,,,,"pest and diseases , unstable prices",Pests,,Prices,Price fluctuation,,,,,"always reserve fund from sales to buy manure, field inspection",Finance,Reserve fund for purchases,,Field management,,taking farmers to my farm and we share ideas together.,majorly ignorance,Lack of information/resources/demonstrations,,,through radios mostly,Radio,,,,,,,,less drought,,,,,,,,,,,,
168,based agronomic practices gap,Training,Good agricultural practices,,,,,,,,,,,,,,,no major challenge,None,,,,,,,,mulching,Soil mangement,Fertilizer,Mulching,,,i share ideas with my friend on how to put dry grasses in the farm.,some people undermind us,Undermining,,,through through training,Training,,,,,,,,better practices like malching,,,,,,,,,,,,
169,we are a ware of what to do but price fluctuations,Information,Prices,Price fluctuation,,,,,,,,,,,,,,Expensive fertilizers,,,Input,Fertilizer,Costs,,,,promote tree planting,Tree planting,,,,,how to pluck tea and what i have learnt,"some community may not practice after training,  education and knowlegde gap",Education,Poor Understanding,Fellow farmers do not accept training,through sensitization and mobilisation,Sensitization,,,,,,,,similar practices,,,,,,,,,,,,
170,"take care of cattle, proper feeding of cow",Training,Livestock,Dairy,,,,,,,,,,,,,,"there is change in seasons, hailstones, lack of herbisides, lack of labour",Labour ,Shortage,Weather,Extreme,Hail,Input,Agrochemicals,,employ low wedge labour,Labour ,Low wages,,,,how to plant tea,"lack of transport, no lunch",Travel,Per Diem,,"facilitating them, transport refund",Funding to travel,,,,,,,,i provide them with maturep,,,,,,,,,,,,
171,as a tea grower he wants to know more a bout tae farming,Training,Good agricultural practices,,,,,,,,,,,,,,,lack of capital,Finance,Capital,,,,,,,continous planting,Replanting,,,,,how to plant properly,low turn up,Poor Committment,,,not sure,NA,,,,,,,,i covered my farm with dry grasses.,,,,,,,,,,,,
172,best practices in tea management,Training,Good agricultural practices,,,,,,,,,,,,,,,"lack of inputs, capital majorly",Input,,Finance,Capital,,,,,uprooting the affected plants,Cut & Burn Affected Area,,,,,good information,"transport to the meeting place, need of lunch and stationary",Travel,Per Diem,,mobilising more farmers,Share benefits,,,,,,,,Drought and heavy rain,,,,,,,,,,,,
173,teach him new methods of farming to improve yields,Training,Yield improvement,,,,,,,,,,,,,,,High costs of inputs and poor market and weather,Weather,,Inputs,Fertilizer,Costs,Markets,,,no solution,None,,,,,how to pluck tea and Irrigation,not sure,No Challenges,,,if could reduce the number of farmers and meet few groups,"Work with a group, make a shared plan",,,,,,,,diseases and weather changes,,,,,,,,,,,,
174,get information incase the price of tea is increased,Information,Prices,Price fluctuation,,,,,,,,,,,,,,prices and inputs,Prices,,Inputs,,,,,,uprooting the affected stems,Cut & Burn Affected Area,,,,,for example how to mulching and changing crop if there is failure,"transport, facilitation inform of lunch",Travel,Per Diem,,door to door training,Visit Fellow Farmers Farms,,,,,,,,there were many diseases last year,,,,,,,,,,,,
175,on how to apply inputs,Training,Input management,,,,,,,,,,,,,,,"expensive inputs, pests , and weather mostly",Weather,,Inputs,Fertilizer,Costs,,,,no solutions,None,,,,,depending on what the farmer has learnt,farmers are not interested,Poor Committment,,,provide with means of transport as a motorcycle since they are hard to reach areas,Funding to travel,,,,,,,,better weather,,,,,,,,,,,,
176,good farming practices,Training,Good agricultural practices,,,,,,,,,,,,,,,mostly prices of tea,Prices,,,,,,,,uprooting the affected  plants,Cut & Burn Affected Area,,,,,good farming practice what i have learnt,low interest with farmers,Poor Committment,,,sensitising farmers,Sensitization,,,,,,,,paying more attension to the farm,,,,,,,,,,,,
177,tree planting,Training,Trees,,,,,,,,,,,,,,,prices and lack of labour,Prices,,Labour ,Shortage,,,,,uprooting the affected plant,Cut & Burn Affected Area,,,,,what the farmer has learnt,may be might ask him questions his not ready to answer or doesnot have any idea a bout,Lack of information/resources/demonstrations,,,sensitizing farmers,Sensitization,,,,,,,,manuring and malching,,,,,,,,,,,,
178,more teachings on how to pluck tea,Training,Plucking,,,,,,,,,,,,,,,prices that are unstable,Prices,Price fluctuation,,,,,,,by mulching,,,,,,Any good farm pratice that i know or learnt,sometimes its hard to share the idea,Communication,,,through seminars,Training,,,,,,,,affected by drought,,,,,,,,,,,,
179,padocks on the farm,Livestock,,,,,,,,,,,,,,,,"Thieves, unstable price, lack of capital.",Prices,Price fluctuation,Finance,Capital,,Thieves,,,i cut and burn the infected the infected coffee trees.,Cut & Burn Affected Area,,,,,share ideas on how to use modern farming,"transport costs, materials",Travel,Costs,Lack of information/resources/demonstrations,group of few people,"Work with a group, make a shared plan",,,,,,,,because of pest and diseases,,,,,,,,,,,,
180,more knowledge on tea,Information,Good agricultural practices,,,,,,,,,,,,,,,"pest and diseases, weeds, price fractuation.",Pests,,Weeds,,,Prices,Price fluctuation,,i work with my wife and i should cut and burn infected  crops,Cut & Burn Affected Area,,,Work with wife,,like planting in seasons,some of them will not accept good plucking leaves,,,,provide with transport and materials,Funding to travel,,,,,,,,Because of drought,,,,,,,,,,,,
181,how to control pests and diseases,Training,Pest management,,,,,,,,,,,,,,,"Am very old so i cant manage my farm, pest and diseases,lack of money to hire labours and thieves.",Pests,,Age,,,Labour ,Shortage,Thieves,nothing yet,None,,,,,what i know,not interested,Poor Committment,,,increase price of the leaf,Per Diem,,,,,,,,Because of price fluctuations of tea,,,,,,,,,,,,
182,technical staff should teach them how to apply fertilizers,Training,Input management,,,,,,,,,,,,,,,"pest and disease, lack of gunboats",Pests,,,,,,,,employing cheap labour,Labour ,Low wages,,,,any good farming practice,they those that are not easy learners,Poor Understanding,,,with those interested,Committed Farmers,,,,,,,,Because of fertilizers,,,,,,,,,,,,
183,record keeping to know how am spending my money,Record Keeping,,,,,,,,,,,,,,,,"i have eye defect so i cannot manage my farm, poor soils, pest and diseases, lack of money.",Illness,,Soil mangement,Fertility,,Pests,,Finance,dry the coffee in bits,Sun Drying,,,,,what i have learnt,as villagers they expect alot from you apart from knowledge,High expectations of training,,,repeat several times for those who didnot understand,Training,,,,,,,,Because of price fluctuations,,,,,,,,,,,,
184,teach new methods of farming,Information,Good agricultural practices,,,,,,,,,,,,,,,pest and diseases and lack of matures.,,,,,,,,,uprooting and burning the affected coffee trees,Cut & Burn Affected Area,,,,,"If you  prun, mulch and plant in time you can get high yield.",expect transport refund,Per Diem,,,hold a village meeting including stake holders,Village meeting,,,,,,,,Because i have a worker,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,"pest and diseases, price fractuation, limited knowledge on farming.",Pests,,Prices,Price fluctuation,,Knowledge,,,planting in time.,Timely planting,,,,,that if our coffee plantations get pest and diseases we should consult the extension wokers.,lack of what to use,Lack of information/resources/demonstrations,,,provide with transport means,Funding to travel,,,,,,,,According to increased producation,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,"pest and diseases, drought, lack of hoes.",Pests,,Weather,Drought,,Inputs,Equpiment,,To mulch the farm and cut the infected coffee treeses,Soil mangement,Fertilizer,Mulching,Cut & Burn Affected Area,,i encourage them to encouge in agriculture,many farmers are not educated,Poor Education,,,provide with materials we can use,Training materials,,,,,,,,There is no money for in puts,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,"pest and diseases, price fractaution, lack of manures.",Pests,,Inputs,Fertilizer,Manure,Prices,Price fluctuation,,to change the farming system,Farm management,Change the system,,,,i advice them to cut the affected coffee tree.,transportation cost,Travel,Costs,,sensitize,Sensitization,,,,,,,,because of too much sun  and lack of labour,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,lack of capital mostly to re-invest,Finance,Capital,,,,,,,consulting sn expertise,Support ,Extension officers,,,,we share ways on how to prevent pest and diseases in our farms.,no transport,Travel,,,should be done on radios,Radio,,,,,,,,Due to climate change and lack of labour and ferti,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,natural diasters mainly and fluctuations of prices,Prices,Price fluctuation,Weather,Extreme,Natural disasters,,,,prunning so that it grows newly,Pruning,,,,,"how, where and when to get quality seeds",they those who will not be interested,Poor Committment,,,transport means,Funding to travel,,,,,,,,they changed prices of tea and so capital dropped.,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,"price fluctuations, and weather",Prices,Price fluctuation,Weather,,,,,,we prune to reduce on the demand of fertilizer,Pruning,,,,,how to mulch the plantation with the aim of increasing soil fertility.,might train but not put in practice,Poor Committment,,,through groups of few farmers,"Work with a group, make a shared plan",,,,,,,,because of priced of tea which are unstable,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,seasonal changes and unfertile soil generally and lack of market,Markets,,Soil mangement,Fertility,,Weather,Changing,,using family members,Labour ,Family members,,,,what i have known,might share information that is too costly and find i cannot afford,Costs,,,programme on radios,Radio,,,,,,,,Because no fertilizer,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,"majorly seasonal changes , lack of labour and lack of manure",Weather,Changing,Inputs,Fertilizer,Manure,Labour ,Shortage,,through loans,Finance,,,,,how to pluck tea,"level of understanding, level of house hold economy",Poor Understanding,,,form groups,"Work with a group, make a shared plan",,,,,,,,pest and diseases,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,lack of equipment and delayed payment,Inputs,Equpiment,Finance,Delayed payment,,,,,"trying to look for training in managment of soil and crops, plus water and pests and train workers too",Training ,,,,,how to pluck,,,,,,,,,,,,,,i hire labours to maintain it,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,Weather changes and lack of market majorly for our products,Weather,Changing,Markets,,,,,,made a plan to borrow money for transport,Finance,Loan for transport,,,,"on how to mantain plantations, how to produce quality tea as farmers, encourage farmers and workers to have good basket for their homes",,,,,,,,,,,,,,i lacked manure,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,price fluctiations of our Agricultural products,Prices,Price fluctuation,,,,,,,farmer has not got any solution,None,,,,,"new methods of farming, information about spraying every after three months",,,,,,,,,,,,,,i planted and harvested in time,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,majorly price fluctuations,Prices,Price fluctuation,,,,,,,to increase farm in puts and equipment,Inputs,Equipment,Increase ,Inputs,Increase ,new farming methods,,,,,,,,,,,,,,I have knowledge on farming issues,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,seasonal changes majorly,Weather,Changing,,,,,,,Cuting and burning the inffected crops,,,,,,having good poultry unit,,,,,,,,,,,,,,it was Gods plan.,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,price fluctuations,Prices,Price fluctuation,,,,,,,getting loan fromSACCO.,Finance ,SACCO Loan request,,,,"prunning, plucking, measurement of fertilizer to put in an acre",,,,,,,,,,,,,,l applied alot of mature in my plantations,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,"pests and diseases, limited land, soil erosion.",Pests,,Soil mangement,Soil erosion,,,,,cutting the inffected crops,Cut & Burn Affected Area,,,,,"teaching them how to mulch,",,,,,,,,,,,,,,Because of lack of fertilixers,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,majorly tea price fluctuations,Prices,Price fluctuation,,,,,,,The society should increase coffee prices,Prices,Should be increased,,,,other methods of farming,,,,,,,,,,,,,,Because the season has not been bad to the farmer.,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,majorly lack of capital and labour,Labour ,Shortage,Finance,Capital,,,,,i have no solutions for them,None,,,,,good plucking methods,,,,,,,,,,,,,,because of lack of fertilizer,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,"yields are low during dry seasons, price fluctuations, transport costs",Prices,Price fluctuation,Transport,Costs,,Crops,Low productivity,,"Hiring land,burning infected crops.",Cut & Burn Affected Area,,,Labour ,Hire,give them advice  on what he had got from the new farming methods,,,,,,,,,,,,,,Because there is an improvement in tea produce,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,"pests and diseases, high cost of inputs and price flactuations",Pests,,Inputs,Fertilizer,Costs,Prices,Price fluctuation,,i just cut the dry coffee tree,Cut & Burn Affected Area,,,,,"dairy farming,",,,,,,,,,,,,,,Because of weather and lack of fertilizer,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,lack of fertilizer,Inputs,Fertilizer,,,,,,,"i cut and burn inffected crops, we look for other people who can buy our cropd on high prices.",Cut & Burn Affected Area,,,Prices,Seek higher prices,how to plant and prun,,,,,,,,,,,,,,Because of lack of inputs and lack of labour,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,lack of herbcides to control weeds,Inputs,Agrochemicals,,,,,,,"I get loans fromSAC COS, i use local herbs like ash to kill pest on the coffee stems.",Finance ,SACCO Loan request,,,,tea planting,,,,,,,,,,,,,,Because of prices,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,"soil facility,transportation costs",Transport,Costs,Soil mangement,Fertility,,,,,i cut the infected coffee and banana trees.,Cut & Burn Affected Area,,,,,how we can buy fertilizers and manure,,,,,,,,,,,,,,Because i put more fertilizers,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,"lack of fertilizer, more training, donnot have enough money to pay workers",Inputs,Fertilizer,Labour ,Costs,,Training ,,,i have no solution.,None,,,,,if it was possible would share ideas on how factory can increase on the cost of tea,,,,,,,,,,,,,,Because of lack of capital,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,"drought, pests and diaeases, rainstorm",Weather,Drought,Weather,Rain,Heavy,Pests,,,through getting loans,Finance,Loans,,,,not sure,,,,,,,,,,,,,,the season was favourable,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,limitted to financing labourers,Labour ,Costs,,,,,,,planting in time and reduce on the farming size,Timely planting,,,,,"how to apply fertilizers, how to pluck good leaves and the plucking rounds",,,,,,,,,,,,,,"pest and diseases , drought",,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,"price fluctuations, lack of fertilizers",Prices,Price fluctuation,Inputs,Fertilizer,,,,,to prune,Pruning,,,,,what they have taught me,,,,,,,,,,,,,,l mulched my plantation,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,lack of fertilizers and herbicides,Inputs,Fertilizer,Inputs,Agrochemicals,,,,,through accessing loans,Finance,Loans,,,,sensitizing on how to make composite manure,,,,,,,,,,,,,,becauses of frost.,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,"lack fertilizers, no workers because delay salary",Inputs,Fertilizer,Labour ,Costs,,,,,to try and prune,Pruning,,,,,plucking and supplying good quality tea,,,,,,,,,,,,,,i have poor seeds,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,"lack of manure and herbicides,  low green leaf price, accesssiblity to finance",Inputs,Agrochemicals,Inputs,Fertilizer,Manure,Prices,Low prices,Finance,through prunning,Pruning,,,,,how to pluck good tea,,,,,,,,,,,,,,i got more knowledge on my plantation through trai,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,"little money to get more inputs, late payment of money from tea,",Finance,,Finance,Delayed payment,,,,,nothing,None,,,,,good maintainance of farm,,,,,,,,,,,,,,i have recieved rainfall,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,prolonged drought,Weather,Drought,,,,,,,none because the producer determines,None,,,,,to give knowledge and practicing work,,,,,,,,,,,,,,Because of inputs,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,"lack of manure and fertilizers, low payment from tea",Prices,Low prices,Inputs,Fertilizer,Manure,,,,trying to spray,Spraying,,,,,what they have taught,,,,,,,,,,,,,,Because of lack of inputs,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,"drought mostly in january, no trees in tea plantation,",Weather,Drought,Inputs,Trees,,,,,nothing really,None,,,,,"experience about changes, how to control pests and diseases",,,,,,,,,,,,,,Because of lack of fertilizers and prices are unst,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,"donot have enough labour because get little money from tea, lack of manure",Labour ,Shortage,Inputs,Fertilizer,Manure,Labour ,Costs,,i will get capital from my relatives,Finance,Family,,,,show then how to plant bananas,,,,,,,,,,,,,,Because the farmer applied fertilizer,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,"lack of fertilizers, late payment",Finance,Delayed payment,Inputs,Fertilizer,,,,,l cut the inffected coffee tree,Cut & Burn Affected Area,,,,,giving advice,,,,,,,,,,,,,,because of lack of fertilizers,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,"lack of fertilizers because inputs are costly, shortage of labour",Labour ,Shortage,Inputs,Fertilizer,Costs,,,,i  have no solution,None,,,,,what have learnt,,,,,,,,,,,,,,Because of lack of fertilizers,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,lack of fertilizers and manure,,,Inputs,Fertilizer,Manure,,,,I cut the affected coffee plant and replace it.  my ground children help me to clear my farm.,Cut & Burn Affected Area,,,,,,,,,,,,,,,,,,,Because of good appearance,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,lack of manure and herbicides,Inputs,Agrochemicals,Inputs,Fertilizer,Manure,,,,i cut the the affected coffee trees.,Cut & Burn Affected Area,,,,,,,,,,,,,,,,,,,Due to lack of fertiliers,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,"lack of manure and fertilizers, lack of labour, climatic changes",Labour ,Shortage,Inputs,Fertilizer,Manure,Weather,Changing,,i cut the coffee trees which  are inffected.,Cut & Burn Affected Area,,,,,,,,,,,,,,,,,,,Because we dont have fertilizers,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,"lack of fertilizers, herbicides, poor prices, inadequate refesher courses for farmers, thefty from workers",Prices,Low prices,Inputs,Fertilizer,,Training ,,Thieves,i started mulching,Soil mangement,Fertilizer,Mulching,,,,,,,,,,,,,,,,,reliable rainfall,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,"lack of manure, pests and diseases",Pests,,Inputs,Fertilizer,Manure,,,,i spray using local herbs and i get local manures and mulching.,Soil mangement,Fertilizer,Mulching,Spraying,Local herbs,,,,,,,,,,,,,,,lack of labour,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,"lack of fertilizers, pests and diseases",Pests,,Inputs,Fertilizer,,,,,I should be trained,Training ,,,,,,,,,,,,,,,,,,,keep good standards of the farm,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,"lack of inputs because they are costly, no enough labour, low price of tea",Prices,Low prices,Inputs,Fertilizer,Costs,Labour ,Shortage,,i irrigate my crops during dry seasons.,Irrigation,,,,,,,,,,,,,,,,,,,"a lot of sunshine, a lot of rain",,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,"lack of fertilizers and manure, pests and diseases",Pests,,Inputs,Fertilizer,Manure,,,,i spray my plantations.,Spraying,,,,,,,,,,,,,,,,,,,lack of manure,,,,,,,,,,,,
